GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,B18AA1990,B18AA2000,B18AB1990,B18AB2000,B18AC1990,B18AC2000,B18AD1990,B18AD2000,B18AE2000
"G0100010","Alabama","01","010","Autauga County","001","0010",27144,35221,6845,7473,71,194,162,378,405
"G0100030","Alabama","01","010","Baldwin County","003","0030",84565,122366,12640,14444,630,809,445,1330,1466
"G0100050","Alabama","01","010","Barbour County","005","0050",14118,14887,11194,13451,46,131,59,357,212
"G0100070","Alabama","01","010","Bibb County","007","0070",13052,15966,3478,4624,25,49,21,80,107
"G0100090","Alabama","01","010","Blount County","009","0090",38397,48512,521,606,133,250,197,1137,519
"G0100110","Alabama","01","010","Bullock County","011","0110",3036,2958,7986,8564,8,44,12,66,82
"G0100130","Alabama","01","010","Butler County","013","0130",13049,12492,8798,8732,24,45,21,46,84
"G0100150","Alabama","01","010","Calhoun County","015","0150",92873,88537,21578,20810,296,445,1287,1376,1081
"G0100170","Alabama","01","010","Chambers County","017","0170",23575,22271,13221,13943,41,49,39,111,209
"G0100190","Alabama","01","010","Cherokee County","019","0190",18154,22268,1291,1330,51,75,47,117,198
"G0100210","Alabama","01","010","Chilton County","021","0210",28647,34330,3674,4200,63,111,74,677,275
"G0100230","Alabama","01","010","Choctaw County","023","0230",8913,8779,7077,7027,10,25,18,24,67
"G0100250","Alabama","01","010","Clarke County","025","0250",15527,15589,11625,11989,45,62,43,91,136
"G0100270","Alabama","01","010","Clay County","027","0270",11044,11776,2166,2238,23,45,19,83,112
"G0100290","Alabama","01","010","Cleburne County","029","0290",12084,13380,587,523,20,42,39,69,109
"G0100310","Alabama","01","010","Coffee County","031","0310",32702,33631,6917,8013,163,396,458,845,730
"G0100330","Alabama","01","010","Colbert County","033","0330",42820,44825,8568,9137,137,205,141,330,487
"G0100350","Alabama","01","010","Conecuh County","035","0350",8063,7806,5925,6136,43,28,23,35,84
"G0100370","Alabama","01","010","Coosa County","037","0370",7242,7802,3782,4172,34,39,5,82,107
"G0100390","Alabama","01","010","Covington County","039","0390",31551,32436,4777,4648,72,181,78,133,233
"G0100410","Alabama","01","010","Crenshaw County","041","0410",10048,10088,3544,3388,27,51,16,43,95
"G0100430","Alabama","01","010","Cullman County","043","0430",66744,75011,560,743,134,290,175,644,795
"G0100450","Alabama","01","010","Dale County","045","0450",39365,36541,8847,10002,239,297,1182,1235,1054
"G0100470","Alabama","01","010","Dallas County","047","0470",20121,16496,27825,29332,41,50,143,232,255
"G0100490","Alabama","01","010","DeKalb County","049","0490",52980,59652,1028,1083,481,518,162,2158,1041
"G0100510","Alabama","01","010","Elmore County","051","0510",37850,50737,11039,13597,137,286,184,569,685
"G0100530","Alabama","01","010","Escambia County","053","0530",24326,24754,10046,11837,1047,1157,99,258,434
"G0100550","Alabama","01","010","Etowah County","055","0550",85274,85737,13799,15191,250,345,517,1223,963
"G0100570","Alabama","01","010","Fayette County","057","0570",15717,16075,2190,2207,9,38,46,80,95
"G0100590","Alabama","01","010","Franklin County","059","0590",26463,28001,1249,1314,57,103,45,1506,299
"G0100610","Alabama","01","010","Geneva County","061","0610",20682,22442,2824,2743,93,197,48,197,185
"G0100630","Alabama","01","010","Greene County","063","0630",1966,1904,8181,8013,3,12,3,18,27
"G0100650","Alabama","01","010","Hale County","065","0650",6255,6844,9214,10131,20,30,9,81,99
"G0100670","Alabama","01","010","Henry County","067","0670",9918,10710,5395,5268,31,34,30,177,121
"G0100690","Alabama","01","010","Houston County","069","0690",61513,64886,18954,21840,287,329,577,912,820
"G0100710","Alabama","01","010","Jackson County","071","0710",44696,49552,1968,2019,1020,946,112,332,1077
"G0100730","Alabama","01","010","Jefferson County","073","0730",418317,384639,228521,260608,889,1408,3798,10066,5326
"G0100750","Alabama","01","010","Lamar County","075","0750",13805,13816,1862,1906,24,18,24,83,81
"G0100770","Alabama","01","010","Lauderdale County","077","0770",71560,77743,7695,8663,165,223,241,641,696
"G0100790","Alabama","01","010","Lawrence County","079","0790",24563,27067,4798,4648,2124,1865,28,152,1071
"G0100810","Alabama","01","010","Lee County","081","0810",64889,85247,20407,26071,132,273,1718,2432,1069
"G0100830","Alabama","01","010","Limestone County","083","0830",46658,55029,7127,8752,148,304,202,992,599
"G0100850","Alabama","01","010","Lowndes County","085","0850",3185,3484,9456,9885,10,15,7,35,54
"G0100870","Alabama","01","010","Macon County","087","0870",3443,3365,21340,20403,24,39,121,123,175
"G0100890","Alabama","01","010","Madison County","089","0890",184197,199401,48116,63025,1601,2129,4998,6927,5218
"G0100910","Alabama","01","010","Marengo County","091","0910",11314,10657,11745,11655,11,19,14,101,107
"G0100930","Alabama","01","010","Marion County","093","0930",28759,29579,967,1134,57,91,47,193,217
"G0100950","Alabama","01","010","Marshall County","095","0950",69361,76791,1087,1207,231,433,153,2900,900
"G0100970","Alabama","01","010","Mobile County","097","0970",254853,252199,117872,133465,1940,2682,3978,7329,4168
"G0100990","Alabama","01","010","Monroe County","099","0990",14320,14047,9372,9747,215,236,61,103,191
"G0101010","Alabama","01","010","Montgomery County","101","1010",119420,109180,87312,108583,414,568,1939,3076,2103
"G0101030","Alabama","01","010","Morgan County","103","1030",89122,94485,10081,12485,310,747,530,1961,1386
"G0101050","Alabama","01","010","Perry County","105","1050",4503,3660,8219,8111,16,9,21,17,64
"G0101070","Alabama","01","010","Pickens County","107","1070",12002,11720,8645,8999,24,25,28,74,131
"G0101090","Alabama","01","010","Pike County","109","1090",17814,17990,9548,10835,146,194,87,186,400
"G0101110","Alabama","01","010","Randolph County","111","1110",15138,17094,4686,4977,29,45,28,126,138
"G0101130","Alabama","01","010","Russell County","113","1130",28473,28209,18088,20319,90,182,209,513,533
"G0101170","Alabama","01","010","Shelby County","117","1170",90715,128671,7718,10606,264,473,661,2516,1027
"G0101150","Alabama","01","010","St. Clair County","115","1150",45138,58288,4561,5263,136,242,174,396,553
"G0101190","Alabama","01","010","Sumter County","119","1190",4759,3836,11369,10827,6,14,40,44,77
"G0101210","Alabama","01","010","Talladega County","121","1210",50970,53830,22773,25339,174,184,190,398,570
"G0101230","Alabama","01","010","Tallapoosa County","123","1230",28493,30474,10212,10518,62,109,59,148,226
"G0101250","Alabama","01","010","Tuscaloosa County","125","1250",109398,112320,39377,48327,253,372,1494,2499,1357
"G0101270","Alabama","01","010","Walker County","127","1270",63042,65163,4405,4364,84,201,139,375,610
"G0101290","Alabama","01","010","Washington County","129","1290",10984,11759,4623,4867,1068,1289,19,24,158
"G0101310","Alabama","01","010","Wilcox County","131","1310",4203,3626,9353,9479,6,19,6,34,25
"G0101330","Alabama","01","010","Winston County","133","1330",21925,24177,57,94,42,114,29,257,201
"G0200130","Alaska","02","020","Aleutians East Borough","013","0130",827,646,16,45,1042,1005,579,922,79
"G0200160","Alaska","02","020","Aleutians West Census Area","016","0160",6360,2188,662,165,1076,1145,1380,1778,189
"G0200200","Alaska","02","020","Anchorage Municipality","020","0200",182736,188009,14544,15199,14569,18941,14489,22559,15575
"G0200500","Alaska","02","020","Bethel Census Area","050","0500",2105,2006,62,61,11370,13114,119,208,617
"G0200600","Alaska","02","020","Bristol Bay Borough","060","0600",894,661,38,7,455,550,23,10,30
"G0200680","Alaska","02","020","Denali Borough","068","0680",,1623,,27,,90,,54,99
"G0200700","Alaska","02","020","Dillingham Census Area","070","0700",1019,1065,8,18,2925,3452,60,58,329
"G0200900","Alaska","02","020","Fairbanks North Star Borough","090","0900",63751,64439,5553,4843,5330,5714,3086,3379,4465
"G0201000","Alaska","02","020","Haines Borough","100","1000",1802,1974,1,3,279,275,35,29,111
"G0201100","Alaska","02","020","Juneau City and Borough","110","1100",21570,22969,292,248,3462,3496,1427,1877,2121
"G0201220","Alaska","02","020","Kenai Peninsula Borough","122","1220",37089,42841,203,229,2935,3713,575,981,1927
"G0201300","Alaska","02","020","Ketchikan Gateway Borough","130","1300",11316,10460,55,70,1898,2109,559,687,744
"G0201500","Alaska","02","020","Kodiak Island Borough","150","1500",9289,8304,135,134,2126,2028,1759,2729,718
"G0201640","Alaska","02","020","Lake and Peninsula Borough","164","1640",389,342,0,1,1261,1340,18,13,127
"G0201700","Alaska","02","020","Matanuska-Susitna Borough","170","1700",36949,51938,307,411,1939,3264,488,997,2712
"G0201800","Alaska","02","020","Nome Census Area","180","1800",2023,1777,9,35,6148,6915,108,82,387
"G0201850","Alaska","02","020","North Slope Borough","185","1850",1274,1262,41,53,4336,5050,328,536,484
"G0201880","Alaska","02","020","Northwest Arctic Borough","188","1880",841,888,12,15,5209,5944,51,94,267
"G0202010","Alaska","02","020","Prince Of Wales-Outer Ketchikan","201","2010",3859,3265,9,9,2358,2377,52,56,439
"G0202200","Alaska","02","020","Sitka City and Borough","220","2200",6359,6052,39,28,1797,1641,393,449,665
"G0202320","Alaska","02","020","Skagway-Hoonah-Angoon","232","2320",,1998,,5,,1203,,51,179
"G0202310","Alaska","02","020","Skagway-Yakutat-Angoon","231","2310",2649,,7,,1670,,59,,
"G0202400","Alaska","02","020","Southeast Fairbanks Census Area","240","2400",4670,4877,290,122,770,785,183,96,294
"G0202610","Alaska","02","020","Valdez-Cordova Census Area","261","2610",8247,7738,57,33,1245,1351,403,504,569
"G0202700","Alaska","02","020","Wade Hampton Census Area","270","2700",346,333,12,4,5405,6503,28,11,177
"G0202800","Alaska","02","020","Wrangell-Petersburg","280","2800",5544,4882,11,15,1367,1074,120,191,522
"G0202820","Alaska","02","020","Yakutat City and Borough","282","2820",,407,,1,,320,,16,64
"G0202900","Alaska","02","020","Yukon-Koyukuk Census Area","290","2900",3584,1590,88,6,4726,4644,80,55,256
"G0400010","Arizona","04","040","Apache County","001","0010",12456,13536,100,173,47803,53375,1232,1349,990
"G0400030","Arizona","04","040","Cochise County","003","0030",79724,90269,5078,5321,790,1350,12032,16436,4379
"G0400050","Arizona","04","040","Coconino County","005","0050",61836,73381,1419,1215,28233,33161,5103,5819,2744
"G0400070","Arizona","04","040","Gila County","007","0070",30776,39951,99,197,5238,6630,4103,3633,924
"G0400090","Arizona","04","040","Graham County","009","0090",20603,22473,502,625,3951,5005,1498,4671,715
"G0400110","Arizona","04","040","Greenlee County","011","0110",6835,6339,28,44,183,142,962,1727,295
"G0400120","Arizona","04","040","La Paz County","012","0120",10335,14619,118,155,2402,2470,989,1943,528
"G0400130","Arizona","04","040","Maricopa County","013","0130",1799420,2376359,74257,114551,38017,56706,210407,435064,89469
"G0400150","Arizona","04","040","Mohave County","015","0150",88834,139616,303,833,2145,3733,2215,7554,3296
"G0400170","Arizona","04","040","Navajo County","017","0170",34205,44752,703,857,40417,46532,2333,3435,1894
"G0400190","Arizona","04","040","Pima County","019","0190",524976,633387,20795,25594,20330,27178,100779,130518,27069
"G0400210","Arizona","04","040","Pinal County","021","0210",87219,126559,3648,4958,10785,14034,14727,29381,4795
"G0400230","Arizona","04","040","Santa Cruz County","023","0230",22159,29168,97,145,64,251,7356,7808,1009
"G0400250","Arizona","04","040","Yavapai County","025","0250",103106,153933,321,655,1740,2686,2547,6979,3264
"G0400270","Arizona","04","040","Yuma County","027","0270",80702,109269,3056,3550,1429,2626,21708,39426,5155
"G0500010","Arkansas","05","050","Arkansas County","001","0010",16816,15602,4738,4848,53,44,46,119,136
"G0500030","Arkansas","05","050","Ashley County","003","0030",17511,16892,6616,6561,46,50,146,474,232
"G0500050","Arkansas","05","050","Baxter County","005","0050",30964,37547,4,43,123,201,95,223,372
"G0500070","Arkansas","05","050","Benton County","007","0070",94968,139399,124,629,1435,2531,972,8056,2791
"G0500090","Arkansas","05","050","Boone County","009","0090",28038,33132,5,39,176,240,78,230,307
"G0500110","Arkansas","05","050","Bradley County","011","0110",8012,7983,3648,3607,13,30,120,885,95
"G0500130","Arkansas","05","050","Calhoun County","013","0130",4357,4280,1447,1343,5,12,17,55,54
"G0500150","Arkansas","05","050","Carroll County","015","0150",18416,23741,6,27,146,222,86,973,394
"G0500170","Arkansas","05","050","Chicot County","017","0170",6692,6104,8859,7617,22,18,140,258,120
"G0500190","Arkansas","05","050","Clark County","019","0190",16344,17491,4913,5186,55,108,125,478,283
"G0500210","Arkansas","05","050","Clay County","021","0210",18031,17271,6,33,45,121,25,41,143
"G0500230","Arkansas","05","050","Cleburne County","023","0230",19292,23613,6,29,72,113,41,77,214
"G0500250","Arkansas","05","050","Cleveland County","025","0250",6681,7267,1059,1133,13,27,28,73,71
"G0500270","Arkansas","05","050","Columbia County","027","0270",16564,15894,8992,9232,53,67,82,213,197
"G0500290","Arkansas","05","050","Conway County","029","0290",16139,17137,2876,2654,73,101,63,204,240
"G0500310","Arkansas","05","050","Craighead County","031","0310",64449,73332,3778,6395,200,273,529,1278,870
"G0500330","Arkansas","05","050","Crawford County","033","0330",40974,49087,374,465,658,1069,487,1432,1194
"G0500350","Arkansas","05","050","Crittenden County","035","0350",28152,25896,21401,23934,90,124,296,586,326
"G0500370","Arkansas","05","050","Cross County","037","0370",14343,14606,4782,4628,40,44,60,103,145
"G0500390","Arkansas","05","050","Dallas County","039","0390",5873,5246,3698,3774,16,22,27,114,54
"G0500410","Arkansas","05","050","Desha County","041","0410",9500,7747,7139,7107,48,54,111,316,117
"G0500430","Arkansas","05","050","Drew County","043","0430",12530,13162,4754,5085,27,47,58,269,160
"G0500450","Arkansas","05","050","Faulkner County","045","0450",54644,75973,4778,7298,256,449,328,1236,1058
"G0500470","Arkansas","05","050","Franklin County","047","0470",14644,17091,99,110,98,142,56,188,240
"G0500490","Arkansas","05","050","Fulton County","049","0490",9969,11371,10,23,47,78,11,31,139
"G0500510","Arkansas","05","050","Garland County","051","0510",66770,78250,5604,6873,484,537,539,1100,1308
"G0500530","Arkansas","05","050","Grant County","053","0530",13491,15731,377,406,38,74,42,133,120
"G0500550","Arkansas","05","050","Greene County","055","0550",31627,36379,20,48,79,158,78,244,502
"G0500570","Arkansas","05","050","Hempstead County","057","0570",14888,14925,6464,7160,74,99,195,1027,376
"G0500590","Arkansas","05","050","Hot Spring County","059","0590",23066,26508,2865,3115,126,136,58,213,381
"G0500610","Arkansas","05","050","Howard County","061","0610",10504,10525,2919,3126,53,58,93,468,123
"G0500630","Arkansas","05","050","Independence County","063","0630",30344,32490,595,697,80,155,173,452,439
"G0500650","Arkansas","05","050","Izard County","065","0650",11266,12773,11,191,64,83,23,52,150
"G0500670","Arkansas","05","050","Jackson County","067","0670",16081,14840,2759,3235,66,60,38,108,175
"G0500690","Arkansas","05","050","Jefferson County","069","0690",47878,40840,36877,41788,227,202,505,811,637
"G0500710","Arkansas","05","050","Johnson County","071","0710",17632,21344,309,313,109,141,171,658,325
"G0500730","Arkansas","05","050","Lafayette County","073","0730",5884,5313,3711,3123,20,32,28,37,54
"G0500750","Arkansas","05","050","Lawrence County","075","0750",17223,17379,88,79,126,102,20,33,181
"G0500770","Arkansas","05","050","Lee County","077","0770",5449,5209,7487,7201,11,20,106,100,50
"G0500790","Arkansas","05","050","Lincoln County","079","0790",8611,9402,4935,4771,65,58,79,153,108
"G0500810","Arkansas","05","050","Little River County","081","0810",10820,10155,2931,2899,116,198,99,148,228
"G0500830","Arkansas","05","050","Logan County","083","0830",20083,21690,273,236,125,147,76,126,287
"G0500850","Arkansas","05","050","Lonoke County","085","0850",35395,48089,3536,3404,166,259,171,506,570
"G0500870","Arkansas","05","050","Madison County","087","0870",11435,13665,3,16,140,174,40,232,156
"G0500890","Arkansas","05","050","Marion County","089","0890",11899,15740,6,20,53,122,43,61,197
"G0500910","Arkansas","05","050","Miller County","091","0910",29464,29935,8625,9297,148,255,230,377,579
"G0500930","Arkansas","05","050","Mississippi County","093","0930",40689,33499,16006,16997,168,134,662,768,581
"G0500950","Arkansas","05","050","Monroe County","095","0950",6862,6088,4422,3978,26,27,23,44,117
"G0500970","Arkansas","05","050","Montgomery County","097","0970",7718,8822,8,27,93,103,22,179,114
"G0500990","Arkansas","05","050","Nevada County","099","0990",6856,6660,3196,3104,27,38,22,91,62
"G0501010","Arkansas","05","050","Newton County","101","1010",7582,8385,0,12,51,48,33,50,113
"G0501030","Arkansas","05","050","Ouachita County","103","1030",19702,17200,10739,11125,44,73,89,154,238
"G0501050","Arkansas","05","050","Perry County","105","1050",7780,9762,119,177,42,100,28,57,113
"G0501070","Arkansas","05","050","Phillips County","107","1070",12915,10379,15753,15612,40,46,130,201,207
"G0501090","Arkansas","05","050","Pike County","109","1090",9621,10403,378,392,56,73,31,314,121
"G0501110","Arkansas","05","050","Poinsett County","111","1110",22797,23304,1773,1825,43,59,51,235,191
"G0501130","Arkansas","05","050","Polk County","113","1130",17035,19155,0,32,186,302,126,402,338
"G0501150","Arkansas","05","050","Pope County","115","1150",44126,51055,1129,1423,319,370,309,866,755
"G0501170","Arkansas","05","050","Prairie County","117","1170",8170,8092,1294,1308,38,34,16,44,61
"G0501190","Arkansas","05","050","Pulaski County","119","1190",252554,231211,92200,115197,1163,1409,3743,8594,5063
"G0501210","Arkansas","05","050","Randolph County","121","1210",16322,17648,146,177,52,97,38,64,209
"G0501250","Arkansas","05","050","Saline County","125","1250",62215,79575,1348,1838,285,410,335,874,832
"G0501270","Arkansas","05","050","Scott County","127","1270",10035,10285,1,25,106,154,63,387,145
"G0501290","Arkansas","05","050","Searcy County","129","1290",7750,8035,2,3,66,62,23,50,111
"G0501310","Arkansas","05","050","Sebastian County","131","1310",88719,94745,5666,7086,1396,1810,3809,8358,3072
"G0501330","Arkansas","05","050","Sevier County","133","1330",12081,12544,787,778,222,286,547,1895,254
"G0501350","Arkansas","05","050","Sharp County","135","1350",13908,16630,66,84,105,116,30,51,238
"G0501230","Arkansas","05","050","St. Francis County","123","1230",14722,14184,13521,14375,47,73,207,286,411
"G0501370","Arkansas","05","050","Stone County","137","1370",9687,11185,8,9,54,89,26,27,189
"G0501390","Arkansas","05","050","Union County","139","1390",32414,30182,14061,14587,79,109,165,399,352
"G0501410","Arkansas","05","050","Van Buren County","141","1410",13845,15673,41,50,76,122,46,107,240
"G0501430","Arkansas","05","050","Washington County","143","1430",108743,138796,1676,3539,1486,1972,1504,9983,3425
"G0501450","Arkansas","05","050","White County","145","1450",52509,62811,1703,2394,233,292,231,787,881
"G0501470","Arkansas","05","050","Woodruff County","147","1470",6502,5932,2991,2688,15,20,12,30,71
"G0501490","Arkansas","05","050","Yell County","149","1490",17172,18312,371,310,75,123,141,2052,342
"G0600010","California","06","060","Alameda County","001","0010",761815,704334,229249,215598,8894,9146,279224,433439,81224
"G0600030","California","06","060","Alpine County","003","0030",806,890,6,7,281,228,20,22,61
"G0600050","California","06","060","Amador County","005","0050",26894,30113,1682,1359,493,626,970,2155,847
"G0600070","California","06","060","Butte County","007","0070",165200,171728,2361,2816,3241,3866,11318,16838,7923
"G0600090","California","06","060","Calaveras County","009","0090",30609,36982,184,304,682,705,523,1222,1341
"G0600110","California","06","060","Colusa County","011","0110",12442,12090,96,103,343,439,3394,5319,853
"G0600130","California","06","060","Contra Costa County","013","0130",611003,621490,74577,88813,5336,5830,112816,183969,48714
"G0600150","California","06","060","Del Norte County","015","0150",20210,21693,858,1184,1494,1770,898,1739,1121
"G0600170","California","06","060","El Dorado County","017","0170",119118,140209,606,813,1351,1566,4920,9084,4627
"G0600190","California","06","060","Fresno County","019","0190",422839,434045,33423,42337,7119,12790,204109,272423,37812
"G0600210","California","06","060","Glenn County","021","0210",21176,18988,137,155,511,552,2974,5738,1020
"G0600230","California","06","060","Humboldt County","023","0230",107881,107179,960,1111,6568,7241,3709,5431,5556
"G0600250","California","06","060","Imperial County","025","0250",73615,70290,2622,5624,1859,2666,31207,58589,5192
"G0600270","California","06","060","Inyo County","027","0270",15777,14367,79,29,1826,1802,599,1003,744
"G0600290","California","06","060","Kern County","029","0290",378479,407581,30131,39798,7026,9999,127841,176850,27417
"G0600310","California","06","060","Kings County","031","0310",65166,69492,8243,10747,1133,2178,26927,40841,6203
"G0600330","California","06","060","Lake County","033","0330",46486,50289,933,1233,1159,1772,2053,2973,2042
"G0600350","California","06","060","Lassen County","035","0350",24215,27336,1719,2992,854,1104,810,1487,909
"G0600370","California","06","060","Los Angeles County","037","0370",5035103,4637062,992974,930957,45508,76988,2789579,3404550,469781
"G0600390","California","06","060","Madera County","039","0390",63369,76612,2494,5072,1418,3212,20809,31755,6458
"G0600410","California","06","060","Marin County","041","0410",204128,207800,8172,7142,789,1061,17007,22707,8579
"G0600430","California","06","060","Mariposa County","043","0430",13221,15234,122,114,639,602,320,601,579
"G0600450","California","06","060","Mendocino County","045","0450",72026,69671,507,536,3304,4103,4508,8591,3364
"G0600470","California","06","060","Merced County","047","0470",120280,118350,8523,8064,1516,2510,48084,69730,11900
"G0600490","California","06","060","Modoc County","049","0490",8803,8120,78,65,406,398,391,603,263
"G0600510","California","06","060","Mono County","051","0510",9229,10818,43,61,368,309,316,1376,289
"G0600530","California","06","060","Monterey County","053","0530",227008,224682,22849,15050,3017,4202,102786,137816,20012
"G0600550","California","06","060","Napa County","055","0550",98469,99396,1204,1645,828,1045,10264,17587,4606
"G0600570","California","06","060","Nevada County","057","0570",76371,85948,180,259,849,814,1110,2578,2434
"G0600590","California","06","060","Orange County","059","0590",1894593,1844652,42681,47649,12165,19906,461117,816931,117151
"G0600610","California","06","060","Placer County","061","0610",161948,220053,1033,2031,1861,2199,7954,16135,7981
"G0600630","California","06","060","Plumas County","063","0630",18590,19113,152,130,604,530,393,507,544
"G0600650","California","06","060","Riverside County","065","0650",894767,1013478,63591,96421,11494,18168,200561,349724,67596
"G0600670","California","06","060","Sacramento County","067","0670",782326,783240,97129,121804,12068,13359,149696,233704,71392
"G0600690","California","06","060","San Benito County","069","0690",25617,34695,204,573,353,616,10523,14613,2737
"G0600710","California","06","060","San Bernardino County","071","0710",1035328,1006960,114934,155348,13411,19915,254707,441170,86041
"G0600730","California","06","060","San Diego County","073","0730",1872256,1871839,159306,161480,20066,24337,446388,624210,131967
"G0600750","California","06","060","San Francisco County","075","0750",387783,385728,79039,60515,3456,3458,253681,293777,33255
"G0600770","California","06","060","San Joaquin County","077","0770",353169,327607,27094,37689,5085,6377,95280,157851,34074
"G0600790","California","06","060","San Luis Obispo County","079","0790",193619,208699,5727,5002,2203,2335,15613,22166,8479
"G0600810","California","06","060","San Mateo County","081","0810",466885,420683,35283,24840,2987,3140,144468,222997,35501
"G0600830","California","06","060","Santa Barbara County","083","0830",285461,290418,10402,9195,3351,4784,70394,77727,17223
"G0600850","California","06","060","Santa Clara County","085","0850",1032190,905660,56211,47182,9269,11350,399907,639956,78437
"G0600870","California","06","060","Santa Cruz County","087","0870",192849,191931,2632,2477,1821,2461,32432,47562,11171
"G0600890","California","06","060","Shasta County","089","0890",137977,145826,1081,1225,3954,4528,4024,6016,5661
"G0600910","California","06","060","Sierra County","091","0910",3175,3348,6,7,73,67,64,46,87
"G0600930","California","06","060","Siskiyou County","093","0930",40105,38573,691,580,1797,1726,938,1807,1615
"G0600950","California","06","060","Solano County","095","0950",227292,222387,45839,58827,3070,3110,64220,84989,25229
"G0600970","California","06","060","Sonoma County","097","0970",351650,374209,5547,6522,4397,5389,26628,53749,18745
"G0600990","California","06","060","Stanislaus County","099","0990",297315,309901,6450,11521,4039,5676,62718,95564,24335
"G0601010","California","06","060","Sutter County","101","1010",49521,53291,1041,1509,941,1225,12912,19277,3628
"G0601030","California","06","060","Tehama County","103","1030",45593,47518,256,318,966,1178,2810,5126,1899
"G0601050","California","06","060","Trinity County","105","1050",12133,11573,53,58,624,631,253,190,570
"G0601070","California","06","060","Tulare County","107","1070",204835,213751,4618,5852,3992,5737,98476,125743,16938
"G0601090","California","06","060","Tuolumne County","109","1090",43792,48750,1551,1146,980,992,2133,2063,1550
"G0601110","California","06","060","Ventura County","111","1110",529166,526721,15629,14664,4909,7106,119312,175133,29573
"G0601130","California","06","060","Yolo County","113","1130",107113,114129,3172,3425,1741,1953,29066,40335,8818
"G0601150","California","06","060","Yuba County","115","1150",45541,42537,2437,1904,1675,1569,8575,10631,3578
"G0800010","Colorado","08","080","Adams County","001","0010",229808,281231,8833,10818,2396,4321,24001,54794,12693
"G0800030","Colorado","08","080","Alamosa County","003","0030",11219,10654,69,145,126,350,2203,3194,623
"G0800050","Colorado","08","080","Arapahoe County","005","0050",349314,390048,23279,37428,2099,3234,16819,41846,15411
"G0800070","Colorado","08","080","Archuleta County","007","0070",4664,8743,7,35,107,139,567,724,257
"G0800090","Colorado","08","080","Baca County","009","0090",4320,4234,1,2,64,54,171,146,81
"G0800110","Colorado","08","080","Bent County","011","0110",4588,4770,33,219,37,134,390,649,226
"G0800130","Colorado","08","080","Boulder County","013","0130",210190,257909,1959,2559,1313,1787,11877,22682,6351
"G0800150","Colorado","08","080","Chaffee County","015","0150",12100,14771,202,257,118,177,264,763,274
"G0800170","Colorado","08","080","Cheyenne County","017","0170",2358,2072,0,11,4,17,35,117,14
"G0800190","Colorado","08","080","Clear Creek County","019","0190",7444,8984,20,26,32,68,123,132,112
"G0800210","Colorado","08","080","Conejos County","021","0210",6387,6112,12,18,31,142,1023,1825,303
"G0800230","Colorado","08","080","Costilla County","023","0230",2664,2231,8,29,18,91,500,1121,191
"G0800250","Colorado","08","080","Crowley County","025","0250",3462,4577,262,389,72,143,150,309,100
"G0800270","Colorado","08","080","Custer County","027","0270",1886,3359,0,13,27,39,13,35,57
"G0800290","Colorado","08","080","Delta County","029","0290",20144,25688,60,146,129,211,647,1280,509
"G0800310","Colorado","08","080","Denver County","031","0310",337198,362180,60046,61649,5381,7290,64985,102723,20794
"G0800330","Colorado","08","080","Dolores County","033","0330",1445,1757,0,1,41,36,18,19,31
"G0800350","Colorado","08","080","Douglas County","035","0350",58682,163064,407,1676,267,716,1035,7014,3296
"G0800370","Colorado","08","080","Eagle County","037","0370",20078,35558,46,142,113,296,1691,4870,793
"G0800410","Colorado","08","080","El Paso County","041","0410",341400,419673,28593,33670,3242,4725,23779,38648,20213
"G0800390","Colorado","08","080","Elbert County","039","0390",9419,18923,47,128,68,125,112,347,349
"G0800430","Colorado","08","080","Fremont County","043","0430",30555,41311,848,2464,329,706,541,822,842
"G0800450","Colorado","08","080","Garfield County","045","0450",29148,39394,82,196,215,310,529,3087,804
"G0800470","Colorado","08","080","Gilpin County","047","0470",2993,4489,14,25,36,39,27,115,89
"G0800490","Colorado","08","080","Grand County","049","0490",7762,11839,16,60,29,54,159,346,143
"G0800510","Colorado","08","080","Gunnison County","051","0510",10009,13269,63,68,69,98,132,281,240
"G0800530","Colorado","08","080","Hinsdale County","053","0530",463,769,1,0,3,12,0,5,4
"G0800550","Colorado","08","080","Huerfano County","055","0550",5569,6365,27,216,78,212,335,777,292
"G0800570","Colorado","08","080","Jackson County","057","0570",1480,1517,0,4,26,12,99,24,20
"G0800590","Colorado","08","080","Jefferson County","059","0590",414542,477454,3231,4677,2428,3971,18229,29488,11466
"G0800610","Colorado","08","080","Kiowa County","061","0610",1648,1559,0,8,11,18,29,24,13
"G0800630","Colorado","08","080","Kit Carson County","063","0630",6794,6992,9,139,23,41,314,766,73
"G0800670","Colorado","08","080","La Plata County","067","0670",29022,38364,71,136,1602,2539,1589,1913,989
"G0800650","Colorado","08","080","Lake County","065","0650",5483,6062,13,14,49,98,462,1433,205
"G0800690","Colorado","08","080","Larimer County","069","0690",175971,229976,1114,1650,1063,1668,7988,12685,5515
"G0800710","Colorado","08","080","Las Animas County","071","0710",11924,12566,34,60,122,387,1685,1612,582
"G0800730","Colorado","08","080","Lincoln County","073","0730",4444,5253,4,302,29,57,52,380,95
"G0800750","Colorado","08","080","Logan County","075","0750",16842,18792,20,420,49,131,656,868,293
"G0800770","Colorado","08","080","Mesa County","077","0770",88177,107349,391,537,659,1059,3918,4991,2319
